"foldChange","dispersion","u","fdr","power","m","m1","X1","X2"
4,1,10,0.1,0.8,10000,500,16,2.53199999999998
4,1,10,0.1,0.8,10000,1500,13,2.24600000000001
4,1,10,0.1,0.8,10000,3000,10,2.20699999999999
4,1,10,0.1,0.8,30000,100,24,6.398
4,1,10,0.1,0.8,30000,500,19,5.703
4,1,10,0.1,0.8,30000,1500,16,2.62200000000001
4,1,10,0.1,0.8,30000,3000,14,2.678
4,1,10,0.1,0.9,10000,100,25,6.16699999999999
4,1,10,0.1,0.9,10000,500,20,5.73700000000001
4,1,10,0.1,0.9,10000,1500,16,2.71299999999999
4,1,10,0.1,0.9,10000,3000,13,2.274
4,1,10,0.1,0.9,30000,100,28,7.02699999999999
4,1,10,0.1,0.9,30000,500,23,5.97700000000002
4,1,10,0.1,0.9,30000,1500,20,5.67199999999999
4,1,10,0.1,0.9,30000,3000,17,2.68700000000001
4,1,20,0.01,0.8,10000,100,26,25.07
4,1,20,0.01,0.8,10000,500,22,21.516
4,1,20,0.01,0.8,10000,1500,19,20.205
4,1,20,0.01,0.8,10000,3000,17,9.02999999999997
4,1,20,0.01,0.8,30000,100,29,25.325
4,1,20,0.01,0.8,30000,500,25,21.935
4,1,20,0.01,0.8,30000,1500,22,24.036
4,1,20,0.01,0.8,30000,3000,20,21.183
4,1,20,0.01,0.9,10000,100,31,26.971
4,1,20,0.01,0.9,10000,500,26,25.187
4,1,20,0.01,0.9,10000,1500,23,22.07
4,1,20,0.01,0.9,10000,3000,20,20.995
4,1,20,0.01,0.9,30000,100,34,42.642
4,1,20,0.01,0.9,30000,500,29,24.545
4,1,20,0.01,0.9,30000,1500,26,24.18
4,1,20,0.01,0.9,30000,3000,24,21.643
4,1,20,0.05,0.8,10000,100,22,21.467
4,1,20,0.05,0.8,10000,500,18,19.804
4,1,20,0.05,0.8,10000,1500,15,8.71099999999997
4,1,20,0.05,0.8,10000,3000,12,7.94
4,1,20,0.05,0.8,30000,100,25,21.968
4,1,20,0.05,0.8,30000,500,21,20.101
4,1,20,0.05,0.8,30000,1500,18,19.828
4,1,20,0.05,0.8,30000,3000,16,9.45499999999998
4,1,20,0.05,0.9,10000,100,26,24.429
4,1,20,0.05,0.9,10000,500,21,20.052
4,1,20,0.05,0.9,10000,1500,18,20.164
4,1,20,0.05,0.9,10000,3000,15,9.01500000000004
4,1,20,0.05,0.9,30000,100,29,24.999
4,1,20,0.05,0.9,30000,500,25,21.523
4,1,20,0.05,0.9,30000,1500,21,19.854
4,1,20,0.05,0.9,30000,3000,19,19.843
4,1,20,0.1,0.8,10000,100,20,19.4959999999999
4,1,20,0.1,0.8,10000,500,16,9.26000000000007
4,1,20,0.1,0.8,10000,1500,13,7.702
4,1,20,0.1,0.8,10000,3000,10,7.553
4,1,20,0.1,0.8,30000,100,23,21.093
4,1,20,0.1,0.8,30000,500,19,19.4
4,1,20,0.1,0.8,30000,1500,16,9.23799999999994
4,1,20,0.1,0.8,30000,3000,14,9.07600000000002
4,1,20,0.1,0.9,10000,100,24,21.618
4,1,20,0.1,0.9,10000,500,19,19.994
4,1,20,0.1,0.9,10000,1500,16,9.20699999999999
4,1,20,0.1,0.9,10000,3000,13,7.59199999999998
4,1,20,0.1,0.9,30000,100,27,24.0090000000001
4,1,20,0.1,0.9,30000,500,22,20.811
4,1,20,0.1,0.9,30000,1500,19,19.928
4,1,20,0.1,0.9,30000,3000,17,8.80199999999991
4,1,40,0.01,0.8,10000,100,26,89.421
4,1,40,0.01,0.8,10000,500,22,77.962
4,1,40,0.01,0.8,10000,1500,19,72.512
4,1,40,0.01,0.8,10000,3000,16,40.717
4,1,40,0.01,0.8,30000,100,29,96.291
4,1,40,0.01,0.8,30000,500,25,82.029
4,1,40,0.01,0.8,30000,1500,22,79.748
4,1,40,0.01,0.8,30000,3000,20,75.719
4,1,40,0.01,0.9,10000,100,30,98.36
4,1,40,0.01,0.9,10000,500,26,90.394
4,1,40,0.01,0.9,10000,1500,22,77.6
4,1,40,0.01,0.9,10000,3000,20,75.317
4,1,40,0.01,0.9,30000,100,33,98.363
4,1,40,0.01,0.9,30000,500,29,92.754
4,1,40,0.01,0.9,30000,1500,26,89.291
4,1,40,0.01,0.9,30000,3000,24,78.542
4,1,40,0.05,0.8,10000,100,22,77.0030000000001
4,1,40,0.05,0.8,10000,500,17,33.64
4,1,40,0.05,0.8,10000,1500,14,31.1030000000001
4,1,40,0.05,0.8,10000,3000,12,28.156
4,1,40,0.05,0.8,30000,100,25,79.1160000000001
4,1,40,0.05,0.8,30000,500,20,73.159
4,1,40,0.05,0.8,30000,1500,17,33.866
4,1,40,0.05,0.8,30000,3000,16,33.8119999999999
4,1,40,0.05,0.9,10000,100,26,89.486
4,1,40,0.05,0.9,10000,500,21,76.1500000000001
4,1,40,0.05,0.9,10000,1500,17,33.1989999999998
4,1,40,0.05,0.9,10000,3000,15,31.4110000000001
4,1,40,0.05,0.9,30000,100,29,91.0280000000001
4,1,40,0.05,0.9,30000,500,24,80.089
4,1,40,0.05,0.9,30000,1500,21,75.559
4,1,40,0.05,0.9,30000,3000,19,74.9029999999999
4,1,40,0.1,0.8,10000,100,20,74.172
4,1,40,0.1,0.8,10000,500,16,34.297
4,1,40,0.1,0.8,10000,1500,12,28.2789999999998
4,1,40,0.1,0.8,10000,3000,10,26.7080000000003
4,1,40,0.1,0.8,30000,100,23,77.2299999999999
4,1,40,0.1,0.8,30000,500,18,71.8659999999999
4,1,40,0.1,0.8,30000,1500,16,34.084
4,1,40,0.1,0.8,30000,3000,14,31.835
4,1,40,0.1,0.9,10000,100,24,81.098
4,1,40,0.1,0.9,10000,500,19,76.6039999999997
4,1,40,0.1,0.9,10000,1500,15,31.9700000000003
4,1,40,0.1,0.9,10000,3000,13,28.1199999999999
4,1,40,0.1,0.9,30000,100,27,91.2390000000001
4,1,40,0.1,0.9,30000,500,22,78.7369999999997
4,1,40,0.1,0.9,30000,1500,19,73.3530000000001
4,1,40,0.1,0.9,30000,3000,17,31.636
4,2,1,0.01,0.8,10000,100,64,1.056
4,2,1,0.01,0.8,10000,500,54,0.642
4,2,1,0.01,0.8,10000,1500,46,0.441
4,2,1,0.01,0.8,10000,3000,40,0.415
4,2,1,0.01,0.8,30000,100,71,0.909
4,2,1,0.01,0.8,30000,500,61,0.643
4,2,1,0.01,0.8,30000,1500,54,0.606
4,2,1,0.01,0.8,30000,3000,49,0.449
4,2,1,0.01,0.9,10000,100,75,0.875
4,2,1,0.01,0.9,10000,500,64,0.673
4,2,1,0.01,0.9,10000,1500,55,0.605
4,2,1,0.01,0.9,10000,3000,49,0.449
4,2,1,0.01,0.9,30000,100,83,1.163
4,2,1,0.01,0.9,30000,500,71,0.843
4,2,1,0.01,0.9,30000,1500,64,0.672000000000001
4,2,1,0.01,0.9,30000,3000,58,0.63
4,2,1,0.05,0.8,10000,100,54,0.611
4,2,1,0.05,0.8,10000,500,43,0.420999999999999
4,2,1,0.05,0.8,10000,1500,35,0.407999999999999
4,2,1,0.05,0.8,10000,3000,30,0.268000000000001
4,2,1,0.05,0.8,30000,100,61,0.64
4,2,1,0.05,0.8,30000,500,50,0.593999999999999
4,2,1,0.05,0.8,30000,1500,43,0.413
4,2,1,0.05,0.8,30000,3000,38,0.399
4,2,1,0.05,0.9,10000,100,64,0.649
4,2,1,0.05,0.9,10000,500,52,0.594999999999999
4,2,1,0.05,0.9,10000,1500,43,0.439
4,2,1,0.05,0.9,10000,3000,37,0.398
4,2,1,0.05,0.9,30000,100,71,0.882000000000001
4,2,1,0.05,0.9,30000,500,60,0.668999999999999
4,2,1,0.05,0.9,30000,1500,52,0.604000000000002
4,2,1,0.05,0.9,30000,3000,47,0.423999999999998
4,2,1,0.1,0.8,10000,100,49,0.440000000000001
4,2,1,0.1,0.8,10000,500,38,0.413999999999998
4,2,1,0.1,0.8,10000,1500,31,0.249000000000002
4,2,1,0.1,0.8,10000,3000,25,0.219000000000001
4,2,1,0.1,0.8,30000,100,56,0.610999999999998
4,2,1,0.1,0.8,30000,500,46,0.439999999999998
4,2,1,0.1,0.8,30000,1500,38,0.406000000000002
4,2,1,0.1,0.8,30000,3000,34,0.375999999999998
4,2,1,0.1,0.9,10000,100,58,0.663000000000003
4,2,1,0.1,0.9,10000,500,47,0.431999999999999
4,2,1,0.1,0.9,10000,1500,38,0.401
4,2,1,0.1,0.9,10000,3000,31,0.251000000000001
4,2,1,0.1,0.9,30000,100,66,0.842999999999998
4,2,1,0.1,0.9,30000,500,55,0.998
4,2,1,0.1,0.9,30000,1500,47,0.432
4,2,1,0.1,0.9,30000,3000,41,0.419
4,2,5,0.01,0.8,10000,100,54,9.87
4,2,5,0.01,0.8,10000,500,45,6.373
4,2,5,0.01,0.8,10000,1500,38,5.859
4,2,5,0.01,0.8,10000,3000,33,3.586
4,2,5,0.01,0.8,30000,100,59,10.691
4,2,5,0.01,0.8,30000,500,51,8.947
4,2,5,0.01,0.8,30000,1500,45,6.221
4,2,5,0.01,0.8,30000,3000,41,5.787
4,2,5,0.01,0.9,10000,100,63,10.06
4,2,5,0.01,0.9,10000,500,53,8.961
4,2,5,0.01,0.9,10000,1500,46,6.324
4,2,5,0.01,0.9,10000,3000,41,5.744
4,2,5,0.01,0.9,30000,100,69,13.289
4,2,5,0.01,0.9,30000,500,60,9.729
4,2,5,0.01,0.9,30000,1500,53,8.934
4,2,5,0.01,0.9,30000,3000,49,6.37500000000001
4,2,5,0.05,0.8,10000,100,45,6.14999999999998
4,2,5,0.05,0.8,10000,500,36,5.52200000000002
4,2,5,0.05,0.8,10000,1500,29,3.191
4,2,5,0.05,0.8,10000,3000,25,2.86199999999999
4,2,5,0.05,0.8,30000,100,51,9.299
4,2,5,0.05,0.8,30000,500,42,6.132
4,2,5,0.05,0.8,30000,1500,36,5.56399999999999
4,2,5,0.05,0.8,30000,3000,32,3.46600000000001
4,2,5,0.05,0.9,10000,100,53,9.108
4,2,5,0.05,0.9,10000,500,43,6.14100000000001
4,2,5,0.05,0.9,10000,1500,36,5.499
4,2,5,0.05,0.9,10000,3000,30,3.39599999999998
4,2,5,0.05,0.9,30000,100,59,9.84500000000002
4,2,5,0.05,0.9,30000,500,50,8.84199999999999
4,2,5,0.05,0.9,30000,1500,43,6.011
4,2,5,0.05,0.9,30000,3000,39,5.608
4,2,5,0.1,0.8,10000,100,41,5.75099999999999
4,2,5,0.1,0.8,10000,500,32,3.377
4,2,5,0.1,0.8,10000,1500,25,2.809
4,2,5,0.1,0.8,10000,3000,20,2.66299999999999
4,2,5,0.1,0.8,30000,100,47,6.42300000000002
4,2,5,0.1,0.8,30000,500,38,5.60800000000001
4,2,5,0.1,0.8,30000,1500,32,3.375
4,2,5,0.1,0.8,30000,3000,28,3.185
4,2,5,0.1,0.9,10000,100,49,6.422
4,2,5,0.1,0.9,10000,500,39,5.52400000000001
4,2,5,0.1,0.9,10000,1500,31,4.297
4,2,5,0.1,0.9,10000,3000,26,3.435
4,2,5,0.1,0.9,30000,100,55,9.985
4,2,5,0.1,0.9,30000,500,45,6.445
4,2,5,0.1,0.9,30000,1500,39,6.819
4,2,5,0.1,0.9,30000,3000,34,5.644
4,2,10,0.01,0.8,10000,100,52,33.335
4,2,10,0.01,0.8,10000,500,44,22.353
4,2,10,0.01,0.8,10000,1500,37,19.791
4,2,10,0.01,0.8,10000,3000,33,12.161
4,2,10,0.01,0.8,30000,100,58,35.824
4,2,10,0.01,0.8,30000,500,49,23.386
4,2,10,0.01,0.8,30000,1500,44,22.54
4,2,10,0.01,0.8,30000,3000,40,20.717
4,2,10,0.01,0.9,10000,100,61,35.83
4,2,10,0.01,0.9,10000,500,52,32.987
4,2,10,0.01,0.9,10000,1500,45,22.582
4,2,10,0.01,0.9,10000,3000,39,20.635
4,2,10,0.01,0.9,30000,100,67,48.724
4,2,10,0.01,0.9,30000,500,58,35.474
4,2,10,0.01,0.9,30000,1500,52,32.829
4,2,10,0.01,0.9,30000,3000,47,23.022
4,2,10,0.05,0.8,10000,100,44,22.436
4,2,10,0.05,0.8,10000,500,35,19.6729999999999
4,2,10,0.05,0.8,10000,1500,29,11.2610000000001
4,2,10,0.05,0.8,10000,3000,24,9.976
4,2,10,0.05,0.8,30000,100,49,24.2619999999999
4,2,10,0.05,0.8,30000,500,41,21.856
4,2,10,0.05,0.8,30000,1500,35,19.79
4,2,10,0.05,0.8,30000,3000,31,11.9960000000001
4,2,10,0.05,0.9,10000,100,52,33.6749999999999
4,2,10,0.05,0.9,10000,500,42,22.1170000000001
4,2,10,0.05,0.9,10000,1500,35,19.759
4,2,10,0.05,0.9,10000,3000,30,11.978
4,2,10,0.05,0.9,30000,100,58,35.865
4,2,10,0.05,0.9,30000,500,49,23.257
4,2,10,0.05,0.9,30000,1500,42,22.258
4,2,10,0.05,0.9,30000,3000,38,20.5609999999999
4,2,10,0.1,0.8,10000,100,40,20.801
4,2,10,0.1,0.8,10000,500,31,12.056
4,2,10,0.1,0.8,10000,1500,25,10.1119999999999
4,2,10,0.1,0.8,10000,3000,20,9.50000000000002
4,2,10,0.1,0.8,30000,100,45,22.9730000000001
4,2,10,0.1,0.8,30000,500,37,20.082
4,2,10,0.1,0.8,30000,1500,31,12.1379999999999
4,2,10,0.1,0.8,30000,3000,27,12.033
4,2,10,0.1,0.9,10000,100,47,24.032
4,2,10,0.1,0.9,10000,500,38,20.377
4,2,10,0.1,0.9,10000,1500,31,11.732
4,2,10,0.1,0.9,10000,3000,25,9.83100000000001
4,2,10,0.1,0.9,30000,100,54,33.418
4,2,10,0.1,0.9,30000,500,44,21.987
4,2,10,0.1,0.9,30000,1500,38,20.248
4,2,10,0.1,0.9,30000,3000,33,12.003
4,2,20,0.01,0.8,10000,100,51,121.787
4,2,20,0.01,0.8,10000,500,43,80.8
4,2,20,0.01,0.8,10000,1500,37,72.114
4,2,20,0.01,0.8,10000,3000,32,43.289
4,2,20,0.01,0.8,30000,100,57,125.976
4,2,20,0.01,0.8,30000,500,49,85.518
